node1,node2,label,cn,sc,aa,ra,pa,tn
2103,50472,1,1.0,0.0,0.24136313830927508,0.015873015873015872,339.0,115.0
25161,50472,1,0.0,0.0,0.0,0.0,294.0,101.0
379,50472,1,1.0,0.0,0.21153331149217683,0.008849557522123894,189.0,65.0
192,282940,1,5.0,0.0,1.7758223259856791,0.328258547008547,7397.0,577.0
49104,282940,1,1.0,0.0,0.15763222689705664,0.0017574692442882249,416.0,44.0
25190,282940,1,0.0,0.0,0.0,0.0,1404.0,121.0
278796,282940,1,0.0,0.0,0.0,0.0,13.0,14.0
156418,282940,1,1.0,0.0,0.15763222689705664,0.0017574692442882249,65.0,17.0
106348,282940,1,0.0,0.0,0.0,0.0,13.0,14.0
53369,282940,1,0.0,0.0,0.0,0.0,377.0,42.0
37470,282940,1,0.0,0.0,0.0,0.0,1170.0,103.0
99040,282940,1,1.0,0.0,0.15763222689705664,0.0017574692442882249,260.0,32.0
258154,282940,1,0.0,0.0,0.0,0.0,13.0,14.0
25220,282940,1,1.0,0.0,0.15763222689705664,0.0017574692442882249,468.0,48.0
24365,282940,1,1.0,0.0,0.15763222689705664,0.0017574692442882249,676.0,64.0
294923,282940,1,0.0,0.0,0.0,0.0,91.0,20.0
246079,313953,1,0.0,0.0,0.0,0.0,248.0,39.0
36423,313953,1,0.0,0.0,0.0,0.0,128.0,24.0
18671,313953,1,0.0,0.0,0.0,0.0,544.0,76.0
79198,313953,1,0.0,0.0,0.0,0.0,168.0,29.0
345351,313953,1,0.0,0.0,0.0,0.0,8.0,9.0
22433,313953,1,0.0,0.0,0.0,0.0,456.0,65.0
1003,313953,1,0.0,0.0,0.0,0.0,2424.0,311.0
359,313953,1,0.0,0.0,0.0,0.0,2288.0,294.0
41756,1441,1,2.0,0.0,0.5542248344721257,0.054212454212454214,720.0,59.0
3734,1441,1,0.0,0.0,0.0,0.0,1485.0,78.0
7197,1441,1,0.0,0.0,0.0,0.0,1890.0,87.0
18687,1441,1,0.0,0.0,0.0,0.0,8190.0,227.0
85009,1441,1,0.0,0.0,0.0,0.0,1755.0,84.0
9574,1441,1,3.0,0.0,0.8072273108997277,0.07357130886542651,1845.0,83.0
75275,1441,1,0.0,0.0,0.0,0.0,540.0,57.0
27051,1441,1,2.0,0.0,0.7130970716616506,0.12333333333333334,2295.0,94.0
2509,1441,1,0.0,0.0,0.0,0.0,1080.0,69.0
96335,1441,1,0.0,0.0,0.0,0.0,1395.0,76.0
7203,1441,1,3.0,0.0,0.8001768419379777,0.08250923388538067,1350.0,72.0
54366,1441,1,2.0,0.0,0.603090708759725,0.07439024390243903,1530.0,77.0
3522,1441,1,1.0,0.0,0.29401410379520604,0.03333333333333333,1485.0,77.0
20831,1441,1,0.0,0.0,0.0,0.0,225.0,50.0
3394,1441,1,0.0,0.0,0.0,0.0,2070.0,91.0
157723,1441,1,0.0,0.0,0.0,0.0,1035.0,68.0
34334,1441,1,1.0,0.0,0.36067376022224085,0.0625,1575.0,79.0
6156,1441,1,4.0,0.0,1.2472898429513646,0.18233838744674657,1125.0,66.0
1469,1441,1,2.0,0.0,0.485242553207811,0.032765737874097006,540.0,55.0
689,1441,1,1.0,0.0,0.31066746727980593,0.04,405.0,53.0
16653,1441,1,4.0,0.0,1.4507822870865175,0.26820892522112033,1755.0,80.0
340180,1441,1,0.0,0.0,0.0,0.0,945.0,66.0
367574,1441,1,0.0,0.0,0.0,0.0,270.0,51.0
311150,1441,1,0.0,0.0,0.0,0.0,495.0,56.0
316500,1441,1,0.0,0.0,0.0,0.0,1125.0,70.0
364754,1441,1,0.0,0.0,0.0,0.0,1755.0,84.0
31205,1441,1,0.0,0.0,0.0,0.0,1080.0,69.0
98670,1441,1,4.0,0.0,1.1178947781795336,0.11357130886542652,1170.0,67.0
3560,1441,1,1.0,0.0,0.29401410379520604,0.03333333333333333,945.0,65.0
183069,1441,1,0.0,0.0,0.0,0.0,405.0,54.0
25277,1441,1,3.0,0.0,1.0469052723569847,0.17333333333333334,3420.0,118.0
14538,1441,1,0.0,0.0,0.0,0.0,360.0,53.0
515,1441,1,0.0,0.0,0.0,0.0,1215.0,72.0
22442,1441,1,1.0,0.0,0.23090777506376875,0.013157894736842105,900.0,64.0
313786,1441,1,2.0,0.0,0.5762101844945259,0.06285178236397748,2430.0,97.0
282998,1441,1,0.0,0.0,0.0,0.0,630.0,59.0
1037,1441,1,1.0,0.0,0.30692767643013485,0.038461538461538464,1530.0,78.0
372292,1441,1,1.0,0.0,0.2729584204093974,0.02564102564102564,315.0,51.0
31069,1441,1,0.0,0.0,0.0,0.0,720.0,61.0
3976,1441,1,0.0,0.0,0.0,0.0,1170.0,71.0
98672,1441,1,0.0,0.0,0.0,0.0,270.0,51.0
245769,1441,1,0.0,0.0,0.0,0.0,1890.0,87.0
355372,1441,1,0.0,0.0,0.0,0.0,2295.0,96.0
15285,1441,1,1.0,0.0,0.29401410379520604,0.03333333333333333,9810.0,262.0
284782,1441,1,1.0,0.0,0.2835784920513334,0.029411764705882353,900.0,64.0
183949,135666,1,0.0,0.0,0.0,0.0,16.0,8.0
5172,135666,1,0.0,0.0,0.0,0.0,312.0,82.0
12830,135666,1,0.0,0.0,0.0,0.0,28.0,11.0
37461,135666,1,0.0,0.0,0.0,0.0,40.0,14.0
281215,278021,1,0.0,0.0,0.0,0.0,5.0,6.0
279769,278021,1,0.0,0.0,0.0,0.0,5.0,6.0
295343,278021,1,0.0,0.0,0.0,0.0,5.0,6.0
336913,278021,1,0.0,0.0,0.0,0.0,635.0,132.0
192262,278021,1,0.0,0.0,0.0,0.0,5.0,6.0
104884,292865,1,0.0,0.0,0.0,0.0,175.0,176.0
57442,259091,1,0.0,0.0,0.0,0.0,12.0,7.0
26624,259091,1,0.0,0.0,0.0,0.0,15.0,8.0
24145,259091,1,0.0,0.0,0.0,0.0,78.0,29.0
